Operating System,IP Address,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Android,69.14.171.213,1,1,1,0.00%,7,0:02:13,0.00%,0,$0.00 
iOS,69.116.212.144,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,68.97.105.155,1,1,1,0.00%,3,0:00:28,0.00%,0,$0.00 
iOS,68.93.4.230,1,1,1,0.00%,5,0:04:31,0.00%,0,$0.00 
Android,68.82.200.161,1,1,1,0.00%,13,0:18:37,0.00%,0,$0.00 
Android,68.81.110.251,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,68.80.143.126,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,68.7.141.51,1,1,1,0.00%,5,0:04:00,0.00%,0,$0.00 
iOS,68.57.103.52,2,2,2,50.00%,1.5,0:00:51,0.00%,0,$0.00 
Windows,68.52.241.50,1,1,1,0.00%,3,0:01:50,0.00%,0,$0.00 
Windows,68.52.133.182,1,1,1,0.00%,7,0:11:36,0.00%,0,$0.00 
iOS,68.47.20.170,1,1,1,0.00%,32,0:30:09,0.00%,0,$0.00 
Android,68.37.167.213,1,1,1,0.00%,12,0:36:38,0.00%,0,$0.00 
iOS,68.33.60.39,1,1,1,0.00%,6,0:09:04,0.00%,0,$0.00 
Android,68.231.177.192,1,1,1,0.00%,12,0:22:39,0.00%,0,$0.00 
Macintosh,68.227.226.199,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Macintosh,68.202.78.144,1,1,1,0.00%,6,0:03:28,0.00%,0,$0.00 
Android,68.195.153.13,1,1,1,0.00%,5,0:05:48,0.00%,0,$0.00 
Android,68.194.129.144,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,68.171.180.200,1,1,1,0.00%,5,0:05:10,0.00%,0,$0.00 
Android,68.169.141.37,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,68.162.81.218,1,1,1,0.00%,7,0:03:21,0.00%,0,$0.00 
iOS,68.162.66.44,1,1,1,0.00%,4,0:03:38,0.00%,0,$0.00 
Windows,68.15.240.108,1,1,1,0.00%,5,0:02:07,0.00%,0,$0.00 
Android,68.14.118.41,1,1,1,0.00%,7,0:07:02,0.00%,0,$0.00 
iOS,68.132.107.8,1,1,2,0.00%,6,0:10:36,0.00%,0,$0.00 
Windows,68.108.106.184,1,1,1,0.00%,7,0:09:08,0.00%,0,$0.00 
Android,68.105.64.216,1,0,1,0.00%,3,0:29:35,0.00%,0,$0.00 
Android,68.105.132.94,1,1,1,0.00%,8,0:12:51,0.00%,0,$0.00 
Android,68.102.65.122,1,1,1,0.00%,9,0:08:36,0.00%,0,$0.00 
Android,68.10.108.230,1,1,1,0.00%,5,0:05:14,0.00%,0,$0.00 
Android,67.82.145.227,1,1,2,0.00%,2,0:00:54,0.00%,0,$0.00 
Android,67.49.116.39,1,1,1,0.00%,5,0:06:01,0.00%,0,$0.00 
Android,67.44.224.77,1,1,1,0.00%,4,0:04:26,0.00%,0,$0.00 
Android,67.43.253.56,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,67.43.240.171,1,1,1,0.00%,14,0:07:01,0.00%,0,$0.00 
Android,67.3.99.123,1,1,1,0.00%,18,0:14:20,0.00%,0,$0.00 
Android,67.251.11.232,1,1,1,0.00%,2,0:00:25,0.00%,0,$0.00 
Android,67.241.209.250,1,1,1,0.00%,5,0:03:45,0.00%,0,$0.00 
Android,67.233.73.73,1,1,1,0.00%,3,0:01:17,0.00%,0,$0.00 
Android,67.213.236.220,1,1,1,0.00%,23,0:30:33,0.00%,0,$0.00 
Macintosh,67.188.101.116,1,1,1,0.00%,7,0:09:10,0.00%,0,$0.00 
Android,67.186.32.145,1,1,1,0.00%,4,0:02:43,0.00%,0,$0.00 
Android,67.184.189.126,1,1,1,0.00%,24,0:18:46,0.00%,0,$0.00 
Macintosh,67.180.15.146,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,67.172.10.62,1,1,1,0.00%,3,0:01:27,0.00%,0,$0.00 
Chrome OS,67.171.161.24,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,67.166.187.251,1,1,1,0.00%,2,0:01:13,0.00%,0,$0.00 
iOS,67.143.192.42,1,1,1,0.00%,7,0:03:28,0.00%,0,$0.00 
Android,67.10.36.9,1,1,1,0.00%,4,0:05:16,0.00%,0,$0.00 
Android,67.10.30.123,1,1,1,0.00%,11,0:08:30,0.00%,0,$0.00 
Windows,67.1.16.127,1,1,1,0.00%,5,0:02:59,0.00%,0,$0.00 
Macintosh,66.75.245.205,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,66.55.195.192,1,1,1,0.00%,4,0:06:28,0.00%,0,$0.00 
Android,66.38.61.218,1,1,1,0.00%,5,0:03:59,0.00%,0,$0.00 
Android,66.220.238.147,1,1,1,0.00%,13,0:10:59,0.00%,0,$0.00 
Android,66.169.254.124,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,66.168.224.132,1,1,1,0.00%,2,0:04:38,0.00%,0,$0.00 
Android,66.10.244.242,1,1,1,0.00%,2,0:02:00,0.00%,0,$0.00 
Android,65.191.169.190,1,1,1,0.00%,2,0:01:23,0.00%,0,$0.00 
Android,65.189.42.102,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,65.184.42.10,1,1,1,0.00%,13,0:17:33,0.00%,0,$0.00 
Windows,65.154.226.165,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,65.131.24.176,1,1,1,0.00%,2,0:02:26,0.00%,0,$0.00 
Android,64.68.238.54,1,1,1,0.00%,5,0:02:50,0.00%,0,$0.00 
Windows,64.251.147.224,1,1,1,0.00%,3,0:04:56,0.00%,0,$0.00 
Android,64.127.165.14,1,1,1,0.00%,15,0:26:43,0.00%,0,$0.00 
Android,63.142.197.59,1,1,1,0.00%,4,0:07:06,0.00%,0,$0.00 
